funding_num,funding_text,n_datasets,nsf_match,min_pubDate,min_dateUploaded
1203772,1203772,1,TRUE,2016-05-03T00:00:00Z,2016-05-10T00:06:22Z
1203773,NSF Award 1203773; 1203773,3,TRUE,2015-01-20T00:00:00Z,2018-06-06T09:17:49Z
1203779,1203779,2,TRUE,2016-11-05T00:00:00Z,2017-12-20T11:05:25Z
1203784,1203784; NSF Award 1203784,3,TRUE,2015-08-29T00:00:00Z,2016-04-02T01:50:17Z
1203838,1203838,2,TRUE,2016-09-01T00:00:00Z,2016-09-02T16:00:00Z
1203851,NSF Award 1203851,1,TRUE,2015-09-23T00:00:00Z,2017-08-25T11:40:47Z
1203857,1203857,1,TRUE,2018-04-27T00:00:00Z,2018-04-30T11:08:33Z
1203861,1203861,2,TRUE,2016-06-27T00:00:00Z,2016-06-27T16:00:00Z
1203902,1203902,11,TRUE,2016-10-05T00:00:00Z,2016-10-05T16:00:00Z
1203990,1203990,1,TRUE,2017-02-09T00:00:00Z,2017-03-07T16:22:23Z
1204005,1204005,2,TRUE,2017-02-08T00:00:00Z,2017-02-23T13:45:42Z
1204013,1204013,4,TRUE,2016-11-29T00:00:00Z,2016-11-28T16:00:00Z
1204044,1204044,1,TRUE,2017-07-24T00:00:00Z,2017-09-05T09:29:06Z
1204059,1204059,1,TRUE,2017-01-23T00:00:00Z,2017-02-01T10:51:00Z
1204070,1204070,11,TRUE,2016-11-03T00:00:00Z,2016-11-03T16:00:00Z
1204082,1204082,9,TRUE,2016-08-11T00:00:00Z,2016-08-17T09:48:32Z
1204084,1204084,3,TRUE,2016-11-05T00:00:00Z,2017-12-20T11:05:25Z
1204096,ARC 1204096,1,TRUE,NA,2018-06-01T12:17:21Z
1204110,1204110,2,TRUE,2016-09-21T00:00:00Z,2016-09-23T16:00:00Z
1204169,1204169; NSF Award 1204169,2,TRUE,2014-01-14T00:00:00Z,2017-07-31T14:37:00Z
1204176,1204176,10,TRUE,2016-04-26T00:00:00Z,2016-06-10T16:00:00Z
1204220,1204220,1,TRUE,2017-12-22T00:00:00Z,2018-02-27T10:52:14Z
1204223,1204223,1,TRUE,2018-01-05T00:00:00Z,2018-01-17T14:38:24Z
1204233,1204233,1,TRUE,2017-06-07T00:00:00Z,2017-07-13T12:21:20Z
1204247,1204247; NSF Award 1204247,16,TRUE,2012-11-12T00:00:00Z,2017-01-05T13:30:38Z
1204248,1204248,1,TRUE,2017-11-21T00:00:00Z,2017-11-28T15:19:21Z
1204263,1204263,1,TRUE,2017-05-17T00:00:00Z,2017-06-23T11:24:07Z
1204267,1204267,28,TRUE,NA,2018-02-12T13:50:50Z
1205008,1205008,14,TRUE,2017-04-10T00:00:00Z,2017-04-27T14:16:04Z
